NAME,PRICE,IMAGE,DETAILS,STOCK
"Lomography Earl Grey 100 Black and White Negative Film (35mm Roll Film, 36 Exposures, 3-Pack)",21.9,https://static.bhphoto.com/images/images345x345/1327062019_827223.jpg,"Panchromatic B&W Negative Film,ISO 100/21° in Standard Process,Rich and Broad Tonal Range,Fine Grain and Sharpness",In Stock
"KONO Color 400 Color Negative Film (35mm Roll Film, 36 Exposures, 2-Pack)",34.99,https://static.bhphoto.com/images/images345x345/1710950121_1814095.jpg,"Color Negative Film,ISO 400/27° in C-41 Process,Excellent Tonal Range,Wide Exposure Latitude",In Stock
"Arista EDU Ultra 100 Black and White Negative Film (35mm Roll Film, 100' Roll)",68.99,https://static.bhphoto.com/images/images345x345/1455725483_1190985.jpg,"Panchromatic B&W Negative Film,100/21° in Standard Process,Fine Grain and High Sharpness,Wide Exposure Latitude",In Stock
"Kodak Professional T-Max 400 Black and White Negative Film (35mm Roll Film, 100' Roll, Expired 08/2023)",153.95,https://static.bhphoto.com/images/images345x345/1712655912_1819403.jpg,"Panchromatic B&W Negative Film,ISO 400/27° in Standard Process,Very Fine Grain, T-GRAIN Emulsion,High Sharpness and Edge Detail",In Stock
"Rollei Ortho 25 Black and White Negative Film (35mm Roll Film, 36 Exposures)",13.99,https://static.bhphoto.com/images/images345x345/1440085112_1175110.jpg,"Orthochromatic B&W Negative Film,ISO 25/15° in Standard Process,Very High Sharpness and Fine Grain,Two-Stop Exposure Reserve",In Stock
"dubblefilm Glitch 200 B&W Negative Film (35mm Roll, 36 Exposures)",15.99,https://static.bhphoto.com/images/images345x345/1701859516_1799669.jpg,"Panchromatic B&W Negative Film,ISO 200/24° in Standard Process,Produces 90's Lo-Fi Glitch Effects,Experimental, Creative Application Film",In Stock
"dubblefilm Bubblegum 200 Color Negative Film (35mm Roll Film, 36 Exposures)",17.99,https://static.bhphoto.com/images/images345x345/1559046088_1481924.jpg,"Daylight-Balanced Color Negative Film,ISO 200/24° in C-41 Process,Produces Bright Pink Hues & Candy Colors,Experimental, Creative Application Film",In Stock
"dubblefilm Stereo 400 Color Film (35mm Roll Film, 36 Exposures)",18.99,https://static.bhphoto.com/images/images345x345/1634229452_1609634.jpg,"Color Negative Film,ISO 400/27° in C-41 Process,Experimental Film,Red to Blue Fading Tint",In Stock
"Film Photography Project Derev Pan 400 Black and White Negative Film (35mm Roll Film, 36 Exposures)",10.99,https://static.bhphoto.com/images/images345x345/1606742420_1582646.jpg,"Panchromatic B&W Negative Film,ISO 400/27° in Standard Process,Wide Exposure Latitude,Extremely Sharp Grain",In Stock
"Reflx Lab 800 Tungsten-Balenced Color Negative Film (35mm Roll Film, 36 Exposures)",14.5,https://static.bhphoto.com/images/images345x345/1715768731_1826627.jpg,"Tungsten-Balanced Color Negative Film,ISO 800/30° in C-41 Process,Motion Picture Film Stock,Remjet Layer Removed",In Stock
"dubblefilm Pacific 400 Color Film (35mm Roll Film, 36 Exposures)",18.99,https://static.bhphoto.com/images/images345x345/1634229452_1609632.jpg,"Color Negative Film,ISO 400/27° in C-41 Process,Experimental Film,Added Tone",In Stock
"Rollei Retro 80S Black and White Negative Film (35mm Roll Film, 100' Roll)",99.99,https://static.bhphoto.com/images/images345x345/1374076237_849665.jpg,"Panchromatic B&W Negative Film,ISO 80/20° in Standard Process,Extended IR Sensitivity to 775nm,Fine Grain Structure, Broad Tonal Range",In Stock
"Ilford Delta 100 Professional Black and White Negative Film (35mm Roll Film, 100' Roll)",132.26,https://static.bhphoto.com/images/images345x345/1337277794_108312.jpg,"Panchromatic B&W Negative Film,ISO 100/21° in Standard Process,Very High Sharpness and Fine Grain,Core-Shell Crystal Technology",In Stock
"Kodak Professional T-Max 400 Black and White Negative Film (35mm Roll Film, 100' Roll)",169.95,https://static.bhphoto.com/images/images345x345/1309867478_29132.jpg,"Panchromatic B&W Negative Film,ISO 400/27° in Standard Process,Very Fine Grain, T-GRAIN Emulsion,High Sharpness and Edge Detail",In Stock
"Film Photography Project Low ISO Black and White Negative Film (35mm Roll Film, 24 Exposures)",11.99,https://static.bhphoto.com/images/images345x345/1606746936_1582649.jpg,"Very Fine Grain,High Resolution Film,ISO 6,Blue-Sensitive Film",In Stock
"Film Photography Project Yeti Black and White Negative Film (35mm Roll Film, 24 Exposures)",12.99,https://static.bhphoto.com/images/images345x345/1658161338_1714493.jpg,"Orthochromatic Motion Picture Film,Blue Sensitive Film,ISO 6/9° in Standard Process,Fine Grain & Creamy Tones",In Stock
"KONO Donau II ISO 8 Film (35mm Roll Film, 36 Exposures)",15.99,https://static.bhphoto.com/images/images345x345/1692628216_1774815.jpg,"35mm Color Negative Film,ISO 8/10° in C-41 Chemistry,Strong Blue and Purple Shifts,Ultrafine Grain",In Stock
"KONO Delight Art 100 Color Negative Film (35mm Roll Film, 36 Exposures, Expired 03/2024)",21.99,https://static.bhphoto.com/images/images345x345/1712056514_1819353.jpg,"Expired March 2024,Color-Tinted, Color-Negative Film,ISO 100/21° in C-41 Process,Fine Grain Structure",In Stock
